Date,EUR/USD,JPY/USD,GBP/USD,AUD/USD,NZD/USD,CAD/USD,CHF/USD,NOK/USD,SEK/USD
2000-01-21,-0.006784353242970092,0.004479874138133001,-0.0026640848888112834,-0.0034589101332596133,0.0,0.005475518002986847,-0.006639290907450198,,
2000-01-24,-0.005639391646097152,-0.00793157988200019,0.0003637024953713289,-0.014567784181590606,0.0,-0.0027340113439997945,-0.006683665873606943,,
2000-01-25,-0.0025829539494577934,-0.0028330117054086276,-0.003399711870902948,0.0016800309411676656,-0.010758049966550427,0.003882941529268622,-0.002718044682389041,,
2000-01-26,-0.0004974876974403568,0.0013650445759043617,-0.00377749794222168,-0.005201970114957554,-0.000983767910132838,-0.0007179266587346724,-0.0004804227812797395,,
2000-01-27,-0.014031098098729608,0.006797411793552483,0.00012207776368698223,0.004285939516552108,-0.004340113342617066,0.0037276028825627906,-0.013871190150533933,,
2000-01-28,-0.010654050347524051,-0.020000666706669543,-0.0108003013507696,-0.03592083306555864,-0.02867939464864353,-0.008190289335962437,-0.009792799003394075,,
2000-01-31,-0.007988571775079062,-0.003941836457577359,-0.0032134498051611783,0.005683627551439058,0.004466105677595873,-0.002455761436414901,-0.00674733079053136,,
2000-02-01,0.003694964688317898,-0.0035288493017304316,-0.0003714480325008993,-0.005525312028271281,-0.004466105677595938,0.000578369015544348,0.0024738200131494154,,
2000-02-02,0.0023535441920432137,-0.0038639094976257236,-0.004965869919244363,0.01008041296964646,0.00243852996269619,0.005909075347736012,0.0016458199896757944,,
2000-02-03,0.014509919222713573,0.004292312631520658,-0.007244598260483414,-0.002039376344127936,0.008689556546711288,-0.001438021530522788,0.016149115331626645,,
2000-02-04,-0.007786862423587289,0.0038473917288937517,-0.0038937435365852422,0.00015702284714673104,0.0,-0.000863806561053768,-0.006656409024240003,,
2000-02-07,-0.002439521437541027,-0.014180063573833933,0.004269754069310304,-0.004090628737468586,-0.004032263527938451,-0.0036072472561593217,-0.0024463846499220027,,
2000-02-08,0.005581787466369237,-0.005315410898604432,0.009106281351690556,-0.0015777851174668131,-0.005063301956546762,-0.0005783690155442524,0.005049281840979442,,
2000-02-09,0.006456191093109918,0.001521574035545332,0.0021087894684496005,0.0026807553703071182,0.0010147134305463833,0.0023114717023790653,0.005185556912434944,,
2000-02-10,-0.006253802911888772,0.0018445185070094796,-0.003351334359925495,-0.006319136351478434,-0.00203045755038184,-0.002745468092554553,-0.004860670619778629,,
2000-02-11,0.0007080362405738578,0.0003251503849162752,-0.009243133506320935,0.0023743580604620755,0.0,-0.002027810660103081,0.00162285008028269,,
2000-02-14,-0.00588177337088708,0.0005416824789836559,-0.0037716916726347237,-0.008095924845097456,-0.010214593409718295,-0.0045048394136539315,-0.0076503994851210115,,
2000-02-15,-0.00010171387894645249,-0.003145850617371337,0.004649709916560824,0.0027059308194059845,0.0,0.00043684019624424636,0.0008166599065559652,,
2000-02-16,0.0052754510092595484,-0.0028288562004777137,0.007245503277553158,0.004915573205533464,0.00919781650463145,0.0016001167135078148,0.006833739578565117,,
2000-02-17,0.0018196527463307623,-0.011175749055046423,0.000746547253784563,0.0009486166719267364,0.005073577600701183,0.0015975604298185887,0.001458316713119321,,
2000-02-18,-0.003946774338443302,-0.003532012501871944,-0.005612736904957436,-0.006659292089976961,-0.004056800695614318,0.0014501162633941027,-0.0038935805191320986,,
2000-02-21,0.002025932621623818,-0.002435515429519159,0.0001250703522360652,-0.0030271671328373443,0.0,-0.0021759637221328357,0.0027595180241585947,,
2000-02-22,0.018150410527637814,0.0043134502537193475,0.00797213988038339,-0.0028763202955937577,0.0,-0.007287599662987565,0.015122553315774258,,
2000-02-23,-0.0021886200538968684,-0.0055334359870232806,-0.005723544304584087,-0.006421598564188903,-0.009598766642847699,0.0010234667170163402,-0.00448072441127608,,
2000-02-24,-0.008702230460936882,0.0018848057023890489,-0.0011236657652748242,-0.008085425677849504,0.00041034058844132266,0.004810855550242166,-0.007243492435495137,,
2000-02-25,-0.020502088257392033,0.007943554567515153,-0.0046328261663807525,-0.00032478077583314143,0.0,0.003774137155208701,-0.019906025210218874,,
2000-02-28,-0.00256686829166704,0.007989973004714258,0.0003764351634887614,-0.0034165818641180763,-0.007205383721270224,-0.0005797101611623351,-0.0018144334874756693,,
