Date,Data
01/08/2003,9411
01/07/2003,9192
01/06/2003,9170
01/05/2003,9042
01/04/2003,8838
01/03/2003,8602
01/02/2003,8525
01/01/2003,8414
01/12/2002,8893
01/11/2002,8829
01/10/2002,8814
01/09/2002,8687
01/08/2002,9313
01/07/2002,9143
01/06/2002,9140
01/05/2002,9078
01/04/2002,8766
01/03/2002,8655
01/02/2002,8607
01/01/2002,8227
01/12/2001,8585
01/11/2001,8677
01/10/2001,8655
01/09/2001,8557
01/08/2001,8953
01/07/2001,9023
01/06/2001,8690
01/05/2001,8706
01/04/2001,8575
01/03/2001,8532
01/02/2001,8234
01/01/2001,8099
01/12/2000,8670
01/11/2000,8384
01/10/2000,8417
01/09/2000,8518
01/08/2000,8921
01/07/2000,8642
01/06/2000,8824
01/05/2000,8661
01/04/2000,8375
01/03/2000,8305
01/02/2000,8291
01/01/2000,7653
01/12/1999,8859
01/11/1999,8240
01/10/1999,8542
01/09/1999,8305
01/08/1999,8579
01/07/1999,8942
01/06/1999,8886
01/05/1999,8420
01/04/1999,8506
01/03/1999,8128
01/02/1999,8031
01/01/1999,7701
01/12/1998,8451
01/11/1998,8167
01/10/1998,8378
01/09/1998,8310
01/08/1998,8568
01/07/1998,8680
01/06/1998,8520
01/05/1998,8279
01/04/1998,8312
01/03/1998,8004
01/02/1998,7711
01/01/1998,7618
01/12/1997,8065
01/11/1997,7965
01/10/1997,8141
01/09/1997,8023
01/08/1997,8233
01/07/1997,8496
01/06/1997,8288
01/05/1997,8139
01/04/1997,8064
01/03/1997,7796
01/02/1997,7668
01/01/1997,7301
01/12/1996,7794
01/11/1996,7915
01/10/1996,8093
01/09/1996,7662
01/08/1996,8343
01/07/1996,8165
01/06/1996,8088
01/05/1996,8071
01/04/1996,7873
01/03/1996,7792
01/02/1996,7599
01/01/1996,7271
01/12/1995,7742
01/11/1995,7866
01/10/1995,7781
01/09/1995,7786
01/08/1995,8187
01/07/1995,7888
01/06/1995,8220
01/05/1995,7894
01/04/1995,7651
01/03/1995,7788
01/02/1995,7481
01/01/1995,7163
01/12/1994,7924
01/11/1994,7464
01/10/1994,7548
01/09/1994,7615
01/08/1994,7975
01/07/1994,7884
01/06/1994,7922
01/05/1994,7644
01/04/1994,7564
01/03/1994,7395
01/02/1994,7275
01/01/1994,6980
01/12/1993,7661
01/11/1993,7533
01/10/1993,7382
01/09/1993,7607
01/08/1993,7864
